[40]rt_x,[40]rt_z,[41]rt_x,[41]rt_z,[42]rt_x,[44]rt_x,[44]rt_z,[45]rt_z,[46]rt_z,[48]rt_z,[49]rt_z,[50]rt_z,[52]rt_x,[52]rt_z,[53]rt_z,[54]rt_z,[56]rt_x,[56]rt_z,[57]rt_z,[58]rt_z,FingersNumber
-21.10905,-64.42003,32.31502,-16.53583,-27.87368,-15,-102.051,-14.36791,-7.183956,-68.80504,-68.80504,-68.80504,15,-19.71363,-19.71363,-19.71363,25,-49.03808,-49.03808,-49.03808,1
-21.1552,-64.40401,32.22273,-16.51983,-27.4115,-15,-101.989,-14.45773,-7.228864,-68.7552,-68.7552,-68.7552,15,-19.31443,-19.31443,-19.31443,25,-49.27581,-49.27581,-49.27581,1
-21.27975,-64.46783,31.97363,-16.58363,-27.05667,-15,-101.9721,-14.57449,-7.287247,-68.69862,-68.69862,-68.69862,15,-18.87021,-18.87021,-18.87021,25,-49.31994,-49.31994,-49.31994,1
-21.34657,-64.45996,31.83998,-16.57576,-26.76058,-15,-101.9308,-14.73647,-7.368235,-68.6731,-68.6731,-68.6731,15,-18.40517,-18.40517,-18.40517,25,-49.34454,-49.34454,-49.34454,1
-21.41434,-64.4691,31.70441,-16.58492,-26.33454,-15,-101.9192,-14.87933,-7.439666,-68.73845,-68.73845,-68.73845,15,-17.84348,-17.84348,-17.84348,25,-49.30732,-49.30732,-49.30732,1
-21.48561,-64.48271,31.56188,-16.59854,-25.7748,-15,-101.8726,-15.08038,-7.540189,-68.70428,-68.70428,-68.70428,15,-17.22624,-17.22624,-17.22624,25,-49.26913,-49.26913,-49.26913,1
-21.55943,-64.53031,31.41424,-16.64614,-24.61072,-15,-101.8714,-14.91355,-7.456775,-68.68539,-68.68539,-68.68539,15,-16.57361,-16.57361,-16.57361,25,-49.40254,-49.40254,-49.40254,1
-21.62149,-64.58665,31.29013,-16.70245,-23.05672,-15,-101.8484,-14.84955,-7.424773,-68.62586,-68.62586,-68.62586,15,-15.80165,-15.80165,-15.80165,25,-49.4042,-49.4042,-49.4042,1
-21.68011,-64.64465,31.17289,-16.76048,-19.82628,-15,-101.7829,-15.28047,-7.640234,-68.58905,-68.58905,-68.58905,15,-14.9034,-14.9034,-14.9034,25,-49.38902,-49.38902,-49.38902,1
-21.78308,-64.63985,30.96697,-16.75567,-18.02885,-15,-101.7086,-15.62514,-7.812571,-68.5892,-68.5892,-68.5892,15,-13.96244,-13.96244,-13.96244,25,-49.44208,-49.44208,-49.44208,1
-21.89205,-64.62859,30.74903,-16.74441,-15.88448,-15,-101.6556,-16.5287,-8.264348,-68.63964,-68.63964,-68.63964,15,-13.09052,-13.09052,-13.09052,25,-49.55194,-49.55194,-49.55194,1
-21.99509,-64.59013,30.54296,-16.70593,-13.46748,-15,-101.6104,-16.62332,-8.311661,-68.72286,-68.72286,-68.72286,15,-12.2991,-12.2991,-12.2991,25,-49.69746,-49.69746,-49.69746,1
-22.1277,-64.45788,30.27769,-16.57371,-11.7856,-15,-101.4677,-16.60567,-8.302834,-68.7519,-68.7519,-68.7519,15,-11.59248,-11.59248,-11.59248,25,-49.8749,-49.8749,-49.8749,1
-22.24726,-64.28458,30.04063,-16.39692,-10.44193,-15,-101.337,-16.4963,-8.248149,-68.7746,-68.7746,-68.7746,15,-10.97026,-10.97026,-10.97026,25,-50.01923,-50.01923,-50.01923,1
-22.36325,-64.09245,29.80868,-16.20478,-9.354716,-15,-101.1983,-16.37616,-8.188081,-68.77539,-68.77539,-68.77539,15,-10.44664,-10.44664,-10.44664,25,-49.77669,-49.77669,-49.77669,1
-22.47788,-63.8996,29.57938,-16.01195,-8.303427,-15,-101.0897,-16.19097,-8.095484,-68.77827,-68.77827,-68.77827,15,-9.995429,-9.995429,-9.995429,25,-49.50507,-49.50507,-49.50507,1
-22.57537,-63.70422,29.38438,-15.81656,-7.661957,-15,-100.9308,-16.01433,-8.007164,-68.73762,-68.73762,-68.73762,15,-9.574677,-9.574677,-9.574677,25,-49.24737,-49.24737,-49.24737,1
-22.65553,-63.5447,29.22407,-15.65706,-6.690036,-15,-100.8291,-15.85627,-7.928135,-68.7737,-68.7737,-68.7737,15,-9.154882,-9.154882,-9.154882,25,-49.01923,-49.01923,-49.01923,1
-22.71777,-63.40338,29.09957,-15.51576,-5.945568,-15,-100.7028,-15.69153,-7.845764,-68.75603,-68.75603,-68.75603,15,-8.735972,-8.735972,-8.735972,25,-49.17185,-49.17185,-49.17185,1
-22.75338,-63.28973,29.02835,-15.40211,-5.70479,-15,-100.5569,-15.59376,-7.796878,-68.73075,-68.73075,-68.73075,15,-8.35603,-8.35603,-8.35603,25,-49.37029,-49.37029,-49.37029,1
-22.76954,-63.25149,28.99603,-15.36387,-5.310874,-15,-100.4986,-15.51791,-7.758954,-68.72981,-68.72981,-68.72981,15,-8.013378,-8.013378,-8.013378,25,-50.17465,-50.17465,-50.17465,1
-22.77067,-63.26022,28.99377,-15.37259,-4.9029,-15,-100.4791,-15.49212,-7.746062,-68.73952,-68.73952,-68.73952,15,-7.691217,-7.691217,-7.691217,25,-50.05565,-50.05565,-50.05565,1
-22.75321,-63.28895,29.02866,-15.4013,-4.733053,-15,-100.4717,-15.49591,-7.747956,-68.77003,-68.77003,-68.77003,15,-7.396517,-7.396517,-7.396517,25,-49.95486,-49.95486,-49.95486,1
-22.72458,-63.31154,29.08592,-15.4239,-4.930191,-15,-100.4219,-15.4507,-7.725351,-68.77103,-68.77103,-68.77103,15,-7.134672,-7.134672,-7.134672,25,-49.88644,-49.88644,-49.88644,1
-22.68131,-63.30144,29.17245,-15.4138,-6.020406,-15,-100.3104,-15.41212,-7.706061,-68.75287,-68.75287,-68.75287,15,-6.936893,-6.936893,-6.936893,25,-49.88858,-49.88858,-49.88858,1
-22.63599,-63.33488,29.26308,-15.44723,-6.626735,-15,-100.3001,-15.32852,-7.664259,-68.76595,-68.76595,-68.76595,15,-6.780851,-6.780851,-6.780851,25,-49.8963,-49.8963,-49.8963,1
-22.59385,-63.36762,29.34737,-15.47998,-7.173222,-15,-100.2854,-15.59025,-7.795123,-68.79515,-68.79515,-68.79515,15,-6.626918,-6.626918,-6.626918,25,-49.88107,-49.88107,-49.88107,1
-22.56102,-63.38358,29.41303,-15.49592,-7.816231,-15,-100.2733,-15.82439,-7.912193,-68.81805,-68.81805,-68.81805,15,-6.469265,-6.469265,-6.469265,25,-49.83087,-49.83087,-49.83087,1
-22.5394,-63.36603,29.45626,-15.47839,-8.609611,-15,-100.2264,-15.76559,-7.882794,-68.84328,-68.84328,-68.84328,15,-6.280935,-6.280935,-6.280935,25,-49.78983,-49.78983,-49.78983,1
-22.5239,-63.33003,29.48722,-15.4424,-9.321148,-15,-100.2019,-15.61707,-7.808534,-68.89828,-68.89828,-68.89828,15,-6.022404,-6.022404,-6.022404,25,-49.73138,-49.73138,-49.73138,1
-22.41476,-63.27763,29.70552,-15.38998,-9.134598,-15,-100.1511,-14.76983,-7.384913,-68.93925,-68.93925,-68.93925,15,-5.736386,-5.736386,-5.736386,25,-49.58907,-49.58907,-49.58907,1
-22.30479,-63.23524,29.92543,-15.34761,-9.089154,-15,-100.1042,-14.65547,-7.327733,-68.9917,-68.9917,-68.9917,15,-5.430619,-5.430619,-5.430619,25,-49.39015,-49.39015,-49.39015,1
-22.31109,-63.20203,29.91284,-15.31438,-10.1604,-15,-100.0381,-14.52134,-7.260669,-69.03814,-69.03814,-69.03814,15,-5.13772,-5.13772,-5.13772,25,-49.15965,-49.15965,-49.15965,1
-22.29226,-63.15071,29.95048,-15.26307,-11.11349,-15,-100.0636,-14.34998,-7.174992,-69.06989,-69.06989,-69.06989,15,-4.874755,-4.874755,-4.874755,25,-48.91885,-48.91885,-48.91885,1
-22.44641,-63.08598,29.64218,-15.19833,-14.01139,-15,-100.005,-14.18919,-7.094595,-69.10783,-69.10783,-69.10783,15,-4.63145,-4.63145,-4.63145,25,-48.63519,-48.63519,-48.63519,1
